Name,Name_ID,Category,Items,Img_path,wiki_brief,wiki_long,fill_check,border_check
"Quayle, Dan",QuayleDan,Political and Military History,23,images/175.jpg,Former Vice President of the United States,James Danforth Quayle is an American politician and lawyer who served as the 44th vice president of the United States from 1989 to 1993. ,img,pmh
"Smith, Kline & French Laboratories",SmithKline&FrenchLaboratories,Medicine and Science,23,,,,ms,ms
"Smothers, Thomas B.",SmothersThomasB,Cultural and Community Life,23,,Tom Smothers' father,,ccl,ccl
"Templin, Ella Rice",TemplinEllaRice,Cultural and Community Life,23,,,,ccl,ccl
"von Martens, Friedrich",vonMartensFriedrich,Work and Industry,23,images/178.jpg,Russian diplomat,"Friedrich Fromhold Martens, or Friedrich Fromhold von Martens, also known as Fyodor Fyodorovich Martens in Russian and FrÃ©dÃ©ric Frommhold Martens in French was a diplomat and jurist in service of the Russian Empire who made important contributions to the science of international law. ",img,wi
"Washington, George",WashingtonGeorge,Work and Industry,23,images/50.jpg,1st U.S. President,"George Washington was an American political leader, military general, statesman, and founding father who served as the first president of the United States from 1789 to 1797. ",img,wi
"Brett-Surman, Kenneth Hayton",Brett-SurmanKennethHayton,Work and Industry,22,,,,wi,wi
"Drayton, Joseph",DraytonJoseph,Work and Industry,22,,,,wi,wi
"Gingrich, Newt",GingrichNewt,Political and Military History,22,,Novel by William R. Forstchen,"One Second After is a 2009 novel by American writer William R. Forstchen. The novel deals with an unexpected electromagnetic pulse attack on the United States as it affects the people living in and around the small American town of Black Mountain, North Carolina.
",pmh,pmh
"Gosar, Ivan",GosarIvan,Cultural and Community Life,22,,,,ccl,ccl
"Harrison, William",HarrisonWilliam,Political and Military History,22,images/181.jpg,9th U.S. President,William Henry Harrison was an American military officer and politician who served as the ninth president of the United States in 1841. ,img,pmh
"Hoover, Herbert",HooverHerbert,Political and Military History,22,images/182.jpg,31st U.S. President,"Herbert Clark Hoover was an American engineer, businessman, and politician, who served as the 31st president of the United States from 1929 to 1933. A member of the Republican Party, he held office during the onset of the Great Depression. ",img,pmh
"Lincoln, Abraham",LincolnAbraham,Work and Industry,22,,,,wi,wi
"Mahler, John",MahlerJohn,Cultural and Community Life,22,,,,ccl,ccl
"Ross, W. W.",RossWW,Medicine and Science,22,,,,ms,ms
"Sherman, C.",ShermanC,Work and Industry,22,,,,wi,wi
"Biddle, Jr., Ambassador Anthony Joseph Drexel",BiddleJrAmbassadorAnthonyJosephDrexel,Cultural and Community Life,21,images/185.jpg,American diplomat,"Anthony Joseph Drexel Biddle Jr. was an American diplomat who served as ambassador to several countries between the 1930s and 1961. He served in the United States Army during World War I and after World War II, reaching the rank of major general.",img,ccl
"Draper, John William",DraperJohnWilliam,Work and Industry,21,images/186.jpg,American scientist,"John William Draper was an English-born American scientist, philosopher, physician, chemist, historian and photographer. He is credited with producing the first clear photograph of a female face and the first detailed photograph of the moon in 1840. ",img,wi
"Faupel, Leonard",FaupelLeonard,Cultural and Community Life,21,,,,ccl,ccl
"Garfield, James A.",GarfieldJamesA,Political and Military History,21,images/187.jpg,20th U.S. President,"James Abram Garfield was the 20th president of the United States, serving from March 4, 1881, until his death by assassination six and a half months later. ",img,pmh
"Hine, Lewis",HineLewis,Work and Industry,21,images/188.jpg,American sociologist,Lewis Wickes Hine was an American sociologist and photographer. Hine used his camera as a tool for social reform. His photographs were instrumental in changing child labor laws in the United States.,img,wi
"Jackson, Andrew",JacksonAndrew,Political and Military History,21,images/189.jpg,7th U.S. President,Andrew Jackson was an American soldier and statesman who served as the seventh president of the United States from 1829 to 1837. ,img,pmh
"Kunin, Claudia",KuninClaudia,Work and Industry,21,,,,wi,wi
"Law, Lisa Bachelis",LawLisaBachelis,Work and Industry,21,,,,wi,wi
"Marx, Groucho",MarxGroucho,Cultural and Community Life,21,images/190.jpg,American comedian,"Julius Henry ""Groucho"" Marx was an American comedian, actor, writer, stage, film, radio, and television star. He is generally considered to have been a master of quick wit and one of America's greatest comedians.
",img,ccl
"Mintz, Charles J.",MintzCharlesJ,Work and Industry,21,,,,wi,wi
"Nicholson, James B.",NicholsonJamesB,Political and Military History,21,,,,pmh,pmh
"Roane, Mary Llewellyn",RoaneMaryLlewellyn,Medicine and Science,21,,,,ms,ms
"Robinson, Boardman",RobinsonBoardman,Work and Industry,21,images/191.jpg,American-Canadian painter,"Boardman Michael Robinson was a Canadian-American painter, illustrator and cartoonist.",img,wi
"Smith, Howard K.",SmithHowardK,Political and Military History,21,,,,pmh,pmh
"Stanley-Brown, Rudolph",Stanley-BrownRudolph,Political and Military History,21,,,,pmh,pmh
"Tancredo, Tom",TancredoTom,Political and Military History,21,images/193.jpg,Former United States Representative,"Thomas Gerard Tancredo is an American politician from Colorado, who represented the state's sixth congressional district in the United States House of Representatives from 1999 to 2009 as a Republican. ",img,pmh
"Thompson, Fred",ThompsonFred,Political and Military History,21,images/194.jpg,Former United States Senator,"Freddie Dalton Thompson was an American politician, attorney, lobbyist, columnist, actor and radio personality. Thompson, a Republican, served in the United States Senate representing Tennessee from 1994 to 2003, and was a Republican presidential candidate in 2008.
",img,pmh
"Blaszczyk, Regina",BlaszczykRegina,Cultural and Community Life,20,,,,ccl,ccl
"Brauch, Tim",BrauchTim,Cultural and Community Life,20,images/195.jpg,,"Timothy ""Tim"" Michael Brauch was an American professional skateboarder who grew up in San Jose, California. Brauch came up in skateboarding during the late 1980s and early 1990s, a period of skateboarding when professionalism meant small paychecks and little fame outside skateboarding, but much travel and many experiences and good times with friends and like-minded skaters.",img,ccl
"Bucher, William F.",BucherWilliamF,Work and Industry,20,,,,wi,wi
"Clark, Wesley",ClarkWesley,Political and Military History,20,images/197.jpg,Political figure,"Wesley Kanne Clark, Sr. is a retired general of the United States Army. He graduated as valedictorian of the class of 1966 at West Point and was awarded a Rhodes Scholarship to the University of Oxford, where he obtained a degree in Philosophy, Politics and Economics. ",img,pmh
"Jennings, A. G.",JenningsAG,Cultural and Community Life,20,,,,ccl,ccl
"King, Florence Lorella Slover",KingFlorenceLorellaSlover,Cultural and Community Life,20,,,,ccl,ccl
"Leipzig, Arthur",LeipzigArthur,Work and Industry,20,,,,wi,wi
"Magnus, Charles",MagnusCharles,Cultural and Community Life,20,,,,ccl,ccl
"Meigh, Charles",MeighCharles,Cultural and Community Life,20,,,,ccl,ccl
"Palin, Sarah Heath",PalinSarahHeath,Political and Military History,20,images/200.jpg,Former Governor of Alaska,"Sarah Louise Palin is an American retired politician, commentator, author, and reality television personality, who served as the ninth governor of Alaska from 2006 until her resignation in 2009. ",img,pmh
"Rockefeller, Nelson A.",RockefellerNelsonA,Political and Military History,20,images/201.jpg,Former Vice President of the United States,"Nelson Aldrich Rockefeller was an American businessman and politician who served as the 41st vice president of the United States from 1974 to 1977, and previously as the 49th governor of New York from 1959 to 1973. ",img,pmh
"Ross, Joan",RossJoan,Medicine and Science,20,,Artist,"Joan Ross is an Australian artist based in Sydney who works across a range of mediums including drawing, painting, installations, sculpture and video. ",ms,ms
"Beals, Jessie Tarbox",BealsJessieTarbox,Work and Industry,19,images/203.jpg,Photographer,"Jessie Tarbox Beals was an American photographer, the first published female photojournalist in the United States and the first female night photographer.
She is best known for her freelance news photographs, particularly of the 1904 St. Louis World's Fair, and portraits of places such as Bohemian Greenwich Village.
",img,wi
"Brewer, Brad",BrewerBrad,Cultural and Community Life,19,,,,ccl,ccl
"Brooke, John Rutter",BrookeJohnRutter,Political and Military History,19,images/205.jpg,,John Rutter Brooke was one of the last surviving Union generals of the American Civil War when he died at the age of 88.,img,pmh
"Buchanan, Patrick J.",BuchananPatrickJ,Political and Military History,19,images/206.jpg,Former Assistant to the President for Communications,"Patrick Joseph Buchanan is an American paleoconservative political commentator, columnist, politician and broadcaster. Buchanan was an assistant and special consultant to U.S. ",img,pmh
"Cassin, John",CassinJohn,Work and Industry,19,,Television actor,"John Finbar Cassin, known professionally as Barry Cassin, was an Irish television, stage and screen actor. On stage, he is best known for his role in the production of Twelve Angry Men.
",wi,wi
"Diamond, Freda",DiamondFreda,Cultural and Community Life,19,,Industrial designer,Freda Diamond was an American industrial designer known for her insight into American consumer taste.,ccl,ccl
"Johnson, Hilda Lois",JohnsonHildaLois,Political and Military History,19,,,,pmh,pmh
"Kameny, Frank",KamenyFrank,Political and Military History,19,images/209.jpg,American astronomer,"Franklin Edward ""Frank"" Kameny was an American gay rights activist. He has been referred to as ""one of the most significant figures"" in the American gay rights movement.
In 1957, Kameny was dismissed from his position as an astronomer in the U.S. ",img,pmh
"Lodge, Henry Cabot",LodgeHenryCabot,Political and Military History,19,images/210.jpg,Former United States Senator,"Henry Cabot Lodge was an American Republican politician, historian, and statesman from Massachusetts. He served in the United States Senate from 1893 to 1924 and is best known for his positions on foreign policy. ",img,pmh
"Lord, Jack",LordJack,Cultural and Community Life,19,,,,ccl,ccl
"Murphy, Audie",MurphyAudie,Political and Military History,19,images/212.jpg,American soldier,"Audie Leon Murphy was an American soldier, actor, songwriter, and rancher. He was one of the most decorated American combat soldiers of World War II. He received every military combat award for valor available from the U.S. Army, as well as French and Belgian awards for heroism. ",img,pmh
"Palmer, Frances F.",PalmerFrancesF,Work and Industry,19,,American television actress,"Gretchen Palmer is an American television and film actress. She has had recurring roles in television series such as The Joe Schmo Show and The Parkers, and has appeared in films including Fast Forward, Crossroads, Red Heat, When Harry Met Sally... and Trois.
",wi,wi
"Rich, Bernard ""Buddy""","RichBernard""Buddy""",Cultural and Community Life,19,images/214.jpg,American drummer,"Bernard ""Buddy"" Rich was an American jazz drummer and bandleader. He is considered one of the most influential drummers of all time.
Rich was born and raised in Brooklyn, New York. He discovered his affinity for jazz music at a young age and began drumming at the age of 2. He began playing jazz in 1937, working with acts such as Tommy Dorsey, Count Basie, and Harry James. From 1942 to 1944, Rich served in the U.S. Marines. In 1966, he recorded a big-band style arrangement of songs from West Side Story. He found lasting success in 1967 with the formation of the Buddy Rich Big Band.
Rich was known for his virtuoso technique, power, and speed. He was an advocate of the traditional grip, though he occasionally used match grip when playing the toms. ",img,ccl
"Saint-Gaudens, Augustus",Saint-GaudensAugustus,Work and Industry,19,,,,wi,wi
"Schwarzkopf, H. Norman",SchwarzkopfHNorman,Political and Military History,19,images/215.jpg,General,"Herbert Norman Schwarzkopf Jr. was a United States Army general. While serving as the commander of United States Central Command, he led all coalition forces in the Gulf War.
",img,pmh
"Weston, Cole",WestonCole,Work and Industry,19,,,,wi,wi
"Albert, Richard L.",AlbertRichardL,Political and Military History,18,images/216.jpg,Irish actor,"Richard John Harris was an Irish actor and singer. He appeared on stage and in many films, notably as Frank Machin in This Sporting Life, for which he was nominated for the Academy Award for Best Actor, and as King Arthur in the 1967 film Camelot, as well as the 1981 revival of the stage musical.
",img,pmh
"Becker, Murray L.",BeckerMurrayL,Work and Industry,18,,,,wi,wi
"Brill, L.",BrillL,Medicine and Science,18,,,,ms,ms
"Colo, Papo",ColoPapo,Work and Industry,18,,,,wi,wi
"Coradi, Gottlieb",CoradiGottlieb,Medicine and Science,18,,Entrepreneur,,ms,ms
"Dalinsky, Harry",DalinskyHarry,Political and Military History,18,,,,pmh,pmh
"Dentzel, Gustav A.",DentzelGustavA,Cultural and Community Life,18,images/219.jpg,,Gustav Dentzel was a German immigrant who built some of the earliest carousels in the United States.,img,ccl
"Eno, I. L.",EnoIL,Work and Industry,18,,,,wi,wi
"Goldman, Edward Alphonso",GoldmanEdwardAlphonso,Work and Industry,18,,,,wi,wi
"Harrison, William Henry",HarrisonWilliamHenry,Political and Military History,18,images/221.jpg,9th U.S. President,William Henry Harrison was an American military officer and politician who served as the ninth president of the United States in 1841. ,img,pmh
"Kollner, August",KollnerAugust,Cultural and Community Life,18,,Painter,,ccl,ccl
"Krupa, Gene",KrupaGene,Cultural and Community Life,18,images/223.jpg,American drummer,"Eugene Bertram Krupa was an American jazz drummer, band leader and composer known for his energetic style and showmanship. His drum solo on ""Sing, Sing, Sing"" elevated the role of the drummer from an accompanying line to an important solo voice in the band.
",img,ccl
"Moran, Thomas",MoranThomas,Work and Industry,18,,,,wi,wi
"Reagan, Ronald",ReaganRonald,Work and Industry,18,images/71.jpg,40th U.S. President,Ronald Wilson Reagan was an American politician who served as the 40th president of the United States from 1981 to 1989 and became a highly influential voice of modern conservatism. ,img,wi
"Tucker, Beverley",TuckerBeverley,Work and Industry,18,,,,wi,wi
"Abbott, Berenice",AbbottBerenice,Work and Industry,17,,,,wi,wi
"Allen, Holless Wilbur",AllenHollessWilbur,Cultural and Community Life,17,,Inventor,"Holless Wilbur Allen was the inventor of the compound bow.
Inventor. H. W. Allen, revolutionized the archery industry worldwide with the invention and patent of the compound bow in the 1960s.
",ccl,ccl
"Anderson, Ken",AndersonKen,Cultural and Community Life,17,images/226.jpg,American professional wrestler,"Kenneth Anderson is an American professional wrestler, professional wrestling trainer, and ring announcer, who is currently signed to National Wrestling Alliance as a wrestler and with Top Rank Boxing as their announcer. ",img,ccl
"Andrysco, Joseph",AndryscoJoseph,Political and Military History,17,,,,pmh,pmh
"Belew, Eugene M.",BelewEugeneM,Political and Military History,17,,,,pmh,pmh
"Brownback, Sam",BrownbackSam,Political and Military History,17,images/227.jpg,United States Ambassador-at-Large for International Religious Freedom,"Samuel Dale Brownback is an American attorney, politician, diplomat and member of the Republican Party who has served as the United States Ambassador at Large for International Religious Freedom since February 2018. ",img,pmh
"Buchanan, James",BuchananJames,Political and Military History,17,,,,pmh,pmh
"Bufford, John Henry",BuffordJohnHenry,Cultural and Community Life,17,,Lithographer,"John Henry Bufford was a lithographer in 19th-century Boston, Massachusetts.",ccl,ccl
"Dewey, Thomas E.",DeweyThomasE,Political and Military History,17,images/230.jpg,Spoken language,English is a West Germanic language first spoken in early medieval England which eventually became the leading language of international discourse in today's world. ,img,pmh
"Diller, Phyllis",DillerPhyllis,Cultural and Community Life,17,images/231.jpg,American actress,"Phyllis Ada Diller was an American actress and comedienne, best known for her eccentric stage persona, self-deprecating humor, wild hair and clothes, and exaggerated, cackling laugh.
",img,ccl
"Duval, Peter S.",DuvalPeterS,Cultural and Community Life,17,,Lithographer,,ccl,ccl
"Grob, Marco",GrobMarco,Work and Industry,17,,Swiss photographer,,wi,wi
"Inouye, Daniel",InouyeDaniel,Political and Military History,17,,,,pmh,pmh
"James, Alfred",JamesAlfred,Work and Industry,17,images/235.jpg,American actor,"Alfredo James Pacino is an American actor and filmmaker. In a career spanning over five decades, he has received many awards and nominations, including an Academy Award, two Tony Awards, and two Primetime Emmy Awards. ",img,wi
"Johnson, Lady Bird",JohnsonLadyBird,Political and Military History,17,images/236.jpg,Former First Lady of the United States,"Claudia Alta ""Lady Bird"" Johnson was an American socialite and the First Lady of the United States as the wife of the 36th President of the United States, Lyndon B. Johnson from 1963 to 1969. She also served as the Second Lady of the United States from 1961 to 1963.
",img,pmh
"Kollbeck, Roland A.",KollbeckRolandA,Cultural and Community Life,17,,,,ccl,ccl
"McCloskey, Pete",McCloskeyPete,Political and Military History,17,images/237.jpg,American Politician,"Paul Norton ""Pete"" McCloskey Jr. is an American politician who represented San Mateo County, California as a Republican in the U.S. House of Representatives from 1967 to 1983. ",img,pmh
"Minkus, Jacques",MinkusJacques,Work and Industry,17,,,"Jacques Minkus, of New York City, emigrated to the United States in 1929 and established stamp counters for postage stamp collectors at numerous department stores in the United States.",wi,wi
"Muskie, Edmund S.",MuskieEdmundS,Political and Military History,17,images/239.jpg,Former United States Secretary of State,"Edmund Sixtus Muskie was an American statesman and political leader who served as the 58th United States Secretary of State under President Jimmy Carter, a United States Senator from Maine from 1959 to 1980, the 64th Governor of Maine from 1955 to 1959, and a member of the Maine House of Representatives from 1946 to 1951. ",img,pmh
"Peary, Robert Edwin",PearyRobertEdwin,Political and Military History,17,images/240.jpg,American explorer,Robert Edwin Peary Sr. was an American explorer and United States Navy officer who made several expeditions to the Arctic in the late 19th and early 20th centuries. ,img,pmh
"Sparkman, John",SparkmanJohn,Political and Military History,17,,,,pmh,pmh
"Thomas, Henry Atwell",ThomasHenryAtwell,Cultural and Community Life,17,,Lithographer,,ccl,ccl
"Whitehead, Cindy",WhiteheadCindy,Cultural and Community Life,17,,,"Cindy Eckert is an American entrepreneur who built and sold two pharmaceutical companies, notably Sprout Pharmaceuticals, creator of â€œfemale Viagra, â€ for more than $1B. ",ccl,ccl
"Barnum, P. T.",BarnumPT,Cultural and Community Life,16,,,,ccl,ccl
"Bradley, Bill",BradleyBill,Political and Military History,16,images/245.jpg,Former American senator,"William Warren Bradley is an American politician and former professional basketball player. He served three terms as a Democratic U.S. Senator from New Jersey. He ran unsuccessfully for the Democratic Party's nomination for president in the 2000 election.
Bradley was born and raised in Crystal City, Missouri, a small town 45 miles south of St. Louis. He excelled at basketball from an early age. He did well academically and was an all-county and all-state basketball player in high school. He was offered 75 college scholarships, but declined them all to attend Princeton University. ",img,pmh
"Coolidge, Calvin",CoolidgeCalvin,Political and Military History,16,images/246.jpg,30th U.S. President,"Calvin Coolidge was an American politician and lawyer who served as the 30th president of the United States from 1923 to 1929. A Republican lawyer from New England, born in Vermont, Coolidge worked his way up the ladder of Massachusetts state politics, eventually becoming governor of Massachusetts. ",img,pmh
"Curtis, Robert L.",CurtisRobertL,Medicine and Science,16,images/247.jpg,Australian actor,"Robert Alfred Morley is an Australian actor and television director. After appearing in various theatre productions and short films, Morley was cast as Drew Curtis in Home and Away in 2006. ",img,ms
"Gendreau, Philip D.",GendreauPhilipD,Work and Industry,16,,Photographer,,wi,wi
"Goforth, Peggy",GoforthPeggy,Cultural and Community Life,16,,,,ccl,ccl
"Hitchcock, William E.",HitchcockWilliamE,Cultural and Community Life,16,,American screenwriter,"William Bast was an American screenwriter and author. In addition to writing scripts for motion pictures and television, he was the author of two biographies of the screen actor James Dean. He often worked with his partner Paul Huson.",ccl,ccl
"Ishimoto, May",IshimotoMay,Cultural and Community Life,16,,,,ccl,ccl
"Johnson, Andrew",JohnsonAndrew,Political and Military History,16,images/251.jpg,17th U.S. President,"Andrew Johnson was the 17th president of the United States, serving from 1865 to 1869. He assumed the presidency as he was vice president at the time of the assassination of Abraham Lincoln. ",img,pmh
"Kelly, Thomas",KellyThomas,Cultural and Community Life,16,,,"Kelly Thomas was a homeless man diagnosed with schizophrenia who lived on the streets of Fullerton, California. He died after succumbing to injuries he suffered while being attacked by six members of the Fullerton Police Department, on July 5, 2011, in what was later described as ""one of the worst police beatings in [US] history.""
",ccl,ccl
"Langmade, Emily",LangmadeEmily,Cultural and Community Life,16,,,,ccl,ccl
"Lincoln, Mary Todd",LincolnMaryTodd,Political and Military History,16,,,,pmh,pmh
"Maxwell, Colonel Pauline E.",MaxwellColonelPaulineE,Political and Military History,16,,,,pmh,pmh
"Murray, Anne Wood",MurrayAnneWood,Cultural and Community Life,16,,,,ccl,ccl
"Seligmann, Arlette",SeligmannArlette,Cultural and Community Life,16,,,,ccl,ccl
"Walcott, Charles D.",WalcottCharlesD,Political and Military History,16,images/255.jpg,American paleontologist,"Charles Doolittle Walcott was an American paleontologist, administrator of the Smithsonian Institution from 1907 to 1927, and geologist. ",img,pmh
"Arthur, Chester A.",ArthurChesterA,Political and Military History,15,images/256.jpg,21st U.S. President,"Chester Alan Arthur was an American attorney and politician who served as the 21st president of the United States from 1881 to 1885. Previously the 20th vice president, he succeeded to the presidency upon the death of President James A. Garfield in September 1881, two months after Garfield was shot by an assassin.
Arthur was born in Fairfield, Vermont, grew up in upstate New York, and practiced law in New York City. He served as quartermaster general of the New York Militia during the American Civil War. ",img,pmh
"Arthur, Eleanore M.",ArthurEleanoreM,Work and Industry,15,,,,wi,wi
"Atget, Eugene",AtgetEugene,Work and Industry,15,images/257.jpg,French photographer,"EugÃ¨ne Atget was a French flÃ¢neur and a pioneer of documentary photography, noted for his determination to document all of the architecture and street scenes of Paris before their disappearance to modernization. ",img,wi
"Baker, Lacey",BakerLacey,Cultural and Community Life,15,,American skateboarder,"Leo Baker is a goofy-footed American professional skateboarder from Covina, California.",ccl,ccl
"Buell, Ann",BuellAnn,Cultural and Community Life,15,,,,ccl,ccl
"Burton, Tim",BurtonTim,Cultural and Community Life,15,,,,ccl,ccl
"Cleveland, Frances Folsom",ClevelandFrancesFolsom,Political and Military History,15,images/260.jpg,Former First Lady of the United States,"Frances Clara Cleveland Preston was First Lady of the United States from 1886 to 1889 and again from 1893 to 1897 as the wife of President Grover Cleveland. Becoming first lady at age 21, she remains the youngest wife of a sitting president.",img,pmh
"Dole, Bob",DoleBob,Political and Military History,15,images/261.jpg,American Politician,"Robert Joseph Dole is an American retired politician, statesman, and attorney who represented Kansas in the U.S House of Representatives from 1961 to 1969 and in the U.S. ",img,pmh
"Dupre, Augustin",DupreAugustin,Work and Industry,15,,,,wi,wi
"Dyson, Will",DysonWill,Political and Military History,15,,,,pmh,pmh
"Egli, Hans W.",EgliHansW,Medicine and Science,15,,,,ms,ms
"Goldberg, Rube",GoldbergRube,Work and Industry,15,,,,wi,wi
"Haines, Elizabeth L.",HainesElizabethL,Cultural and Community Life,15,,,,ccl,ccl
"Harding, Warren G.",HardingWarrenG,Political and Military History,15,images/265.jpg,29th U.S. President,"Warren Gamaliel Harding was the 29th president of the United States from 1921 until his death in 1923. A member of the Republican Party, he was one of the most popular U.S. presidents to that point. ",img,pmh
"Hornak, Ian",HornakIan,Work and Industry,15,images/266.jpg,American draughtsman,"Ian Hornak was an American draughtsman, painter and printmaker. He was one of the founding artists of the Hyperrealist and Photorealist fine art movements.",img,wi
"Jackson, William Henry",JacksonWilliamHenry,Work and Industry,15,,,,wi,wi
"Jordan, Louis",JordanLouis,Cultural and Community Life,15,images/268.jpg,American musician,"Louis Thomas Jordan was an American musician, songwriter and bandleader who was popular from the late 1930s to the early 1950s. Known as ""The King of the Jukebox"", he earned his highest profile towards the end of the swing era.
Jordan was a talented singer with great comedic flair, and he fronted his own band for more than twenty years. He duetted with some of the biggest solo singing stars of his time, including Bing Crosby, Ella Fitzgerald and Louis Armstrong. ",img,ccl
"Lilienthal, Theodore",LilienthalTheodore,Work and Industry,15,,,,wi,wi
"Lucas, Joseph D.",LucasJosephD,Medicine and Science,15,images/269.jpg,,"Joseph is a figure in the canonical gospels who was married to Mary, Jesus' mother, and was Jesus' legal father. In the Apocrypha, Joseph was the father of James, Joses, Jude, Simon, and at least two daughters. ",img,ms
"Mackenzie, Tandy Kaohu",MackenzieTandyKaohu,Cultural and Community Life,15,,,,ccl,ccl
"Ostade, Adriaen van",OstadeAdriaenvan,Work and Industry,15,images/270.jpg,Dutch painter,Adriaen van Ostade was a Dutch Golden Age painter of genre works.,img,wi
"Pal, George",PalGeorge,Cultural and Community Life,15,images/271.jpg,American-Hungarian animator,"George Pal was a Hungarian-American animator, film director and producer, principally associated with the fantasy and science-fiction genres. He became an American citizen after emigrating from Europe.
He was nominated for Academy Awards for seven consecutive years and received an honorary award in 1944. This makes him the second-most nominated Hungarian exile after MiklÃ³s RÃ³zsa.",img,ccl
"Rathe, Robert",RatheRobert,Work and Industry,15,,,,wi,wi
"Reich, John",ReichJohn,Work and Industry,15,,,,wi,wi
"Rogers, Katelyn",RogersKatelyn,Cultural and Community Life,15,,,,ccl,ccl
"Rollins, Hazelle H.",RollinsHazelleH,Cultural and Community Life,15,,,,ccl,ccl
"Van Buren, Angelica Singleton",VanBurenAngelicaSingleton,Political and Military History,15,images/274.jpg,Former First Lady of the United States,"Sarah Angelica Van Buren, was the daughter-in-law of the eighth President of the United States Martin Van Buren. She was married to the President's son, Abraham Van Buren. ",img,pmh
"Van Zyle, Jona",VanZyleJona,Cultural and Community Life,15,,,,ccl,ccl
"Weiss, Ch.",WeissCh,Cultural and Community Life,15,,,,ccl,ccl
"Wilkerson, Ken",WilkersonKen,Cultural and Community Life,15,,,,ccl,ccl
"Adams, Stephen F.",AdamsStephenF,Work and Industry,14,,,,wi,wi
"Ahlborn, Betty",AhlbornBetty,Cultural and Community Life,14,,,,ccl,ccl
"Audubon, John James",AudubonJohnJames,Work and Industry,14,,,,wi,wi
"Carter, James E.",CarterJamesE,Political and Military History,14,images/278.jpg,39th U.S. President,"James Earl Carter Jr. is an American politician, philanthropist, and former farmer who served as the 39th president of the United States from 1977 to 1981. ",img,pmh
"Catt, Carrie Chapman",CattCarrieChapman,Political and Military History,14,images/279.jpg,,"Carrie Chapman Catt was an American women's suffrage leader who campaigned for the Nineteenth Amendment to the United States Constitution, which gave U.S. women the right to vote in 1920. ",img,pmh
"Clark, Ann",ClarkAnn,Cultural and Community Life,14,images/280.jpg,Poet,"Anne Charlotte Clark is an English poet, songwriter, and electronic musician. Her first album, The Sitting Room, was released in 1982, and she has released over a dozen albums since then.
",img,ccl
"Copp, Mary Esther",CoppMaryEsther,Cultural and Community Life,14,,,,ccl,ccl
"Delaunay, Charles",DelaunayCharles,Cultural and Community Life,14,images/281.jpg,French astronomer,Charles-EugÃ¨ne Delaunay was a French astronomer and mathematician. His lunar motion studies were important in advancing both the theory of planetary motion and mathematics.,img,ccl
"Duff, Caroline",DuffCaroline,Cultural and Community Life,14,images/282.jpg,Socialite,"Caroline, Lady Duff was an English socialite and actress.",img,ccl
"Eames, Ray",EamesRay,Cultural and Community Life,14,images/283.jpg,,"Charles Ormond Eames, Jr. and Bernice Alexandra ""Ray"" Kaiser Eames were an American married couple of industrial designers who made significant historical contributions to the development of modern architecture and furniture through the work of the Eames Office. ",img,ccl
"Gilbertson, Ashley",GilbertsonAshley,Work and Industry,14,,Photographer,"Ashley Gilbertson is an Australian photographer. He is known for his images of the Iraq War and the effects of the wars in Afghanistan and Iraq on returning veterans and their families. Gilbertson is a member of VII Photo Agency.
",wi,wi
"Gleason, Frederick",GleasonFrederick,Work and Industry,14,,Publisher,"Frederick Gleason was a publisher in Boston, Massachusetts, in the mid-nineteenth century. He is best known for establishing the popular illustrated weekly Gleason's Pictorial, at the time an innovation in American publishing. ",wi,wi
"Grant, Ulysses S.",GrantUlyssesS,Political and Military History,14,images/286.jpg,18th U.S. President,Ulysses S. Grant was an American soldier and politician who served as the 18th president of the United States from 1869 to 1877. ,img,pmh
"Guenther, Joseph",GuentherJoseph,Political and Military History,14,,,,pmh,pmh
"Hardesty, Frank",HardestyFrank,Work and Industry,14,,Fictional character,,wi,wi
"Jefferson, Thomas",JeffersonThomas,Political and Military History,14,images/288.jpg,3rd U.S. President,"Thomas Jefferson was an American statesman, diplomat, lawyer, architect, philosopher, and Founding Father who served as the third president of the United States from 1801 to 1809. ",img,pmh
"Lewis, Jerry",LewisJerry,Cultural and Community Life,14,images/289.jpg,American singer,"Jerry Lee Lewis is an American singer, musician and pianist, often known by his nickname, The Killer. He has been described as ""rock &amp; roll's first great wild man and one of the most influential pianists of the twentieth century.""
",img,ccl
"Lewis, Jerry Lee",LewisJerryLee,Cultural and Community Life,14,images/290.jpg,American singer,"Jerry Lee Lewis is an American singer, musician and pianist, often known by his nickname, The Killer. He has been described as ""rock &amp; roll's first great wild man and one of the most influential pianists of the twentieth century.""
",img,ccl
"Lintelman, Ryan",LintelmanRyan,Work and Industry,14,,,,wi,wi
"Lujan, Josie E.",LujanJosieE,Cultural and Community Life,14,,,,ccl,ccl
"Mason, Maria Dorado",MasonMariaDorado,Cultural and Community Life,14,,,,ccl,ccl
"Mason, Theodorus B. M.",MasonTheodorusBM,Cultural and Community Life,14,,Officer,"Theodorus Bailey Myers Mason was the founder and first head of the United States Office of Naval Intelligence, with the post of Chief Intelligence Officer.
Mason came from a distinguished New York family. ",ccl,ccl
"Mitchell, Herbert",MitchellHerbert,Work and Industry,14,,American actor,"Herbert L. Mitchell, Jr., credited as Herb Mitchell and sometimes Herb L. Mitchell, was an American actor, director, and teacher. ",wi,wi
"Orton, George",OrtonGeorge,Cultural and Community Life,14,,,,ccl,ccl
